300 0
400 20
500 80
600 140
700 180
800 240
900 320
1000 420
1100 520
1200 620
1300 660
1400 760
1500 780
1600 760
1700 680
1800 600
1900 540
2000 420
2100 340
2200 280
2300 160
2400 120
2500 80
2600 20
2700 0
